merchant_id,vintage_days,mcc,lob,business_type,state,city_tier,kyb_score,gst_registered,pan_verified,monthly_txn_volume_inr,monthly_txn_count,avg_ticket_size_inr,txn_velocity,dispute_rate,chargeback_count_90d,refund_rate,settlement_delay_days,rbi_flags_count,aml_alerts_30d,days_since_last_txn,active_devices,p2p_ratio,risk_label,churn_label
MID01000000,366,5411,Grocery & Kirana,Proprietorship,Tamil Nadu,3,0.9002,1,1,150105.26,251,595.84,8.367,0.00324,3,0.00195,1.65,0,0,0,2,0.1826,0,1
MID01000001,95,5651,Apparel,Proprietorship,Madhya Pradesh,1,0.8531,1,0,23259.79,71,325.48,2.367,0.00055,0,0.00118,2.24,0,0,3,5,0.0371,0,1
MID01000002,572,8011,Healthcare,Proprietorship,Bihar,1,0.5447,1,1,191884.84,226,845.71,7.533,0.01915,5,0.05267,1.53,0,0,3,2,0.2635,1,1
MID01000003,692,5814,QSR & Food Delivery,Pvt Ltd,Odisha,2,0.8564,0,0,31350.06,17,1794.01,0.567,0.0126,1,0.02474,0.42,0,0,6,3,0.1013,0,0
MID01000004,38,5411,Grocery & Kirana,Partnership,Telangana,3,0.8839,1,1,66256.83,68,974.31,2.267,0.00204,0,0.00934,2.21,0,0,7,1,0.0714,0,0
MID01000005,73,5967,Adult Content (Restricted),Pvt Ltd,Kerala,1,0.6242,1,1,81189.58,949,85.55,31.633,0.07119,112,0.04647,3.26,0,0,11,3,0.1936,2,1
MID01000006,307,4814,Telecom & Recharge,Proprietorship,Haryana,2,0.7833,1,0,33222.99,74,445.33,2.467,0.02025,3,0.03186,0.93,0,0,11,2,0.1925,0,1
MID01000007,197,7995,Gambling (Prohibited),Proprietorship,West Bengal,1,0.6034,1,1,134017.01,288,463.91,9.6,0.04433,24,0.06128,1.56,0,0,3,1,0.138,1,1
MID01000008,265,6300,Insurance,Proprietorship,West Bengal,3,0.7601,1,1,2099.22,1,1234.02,0.033,0.01334,0,0.04289,1.19,0,0,10,3,0.1399,0,0
MID01000009,115,4900,Utilities,Pvt Ltd,Uttar Pradesh,3,0.5608,1,1,7359.41,29,246.12,0.967,0.01455,0,0.02058,0.43,0,0,5,2,0.1373,0,1
MID01000010,651,5912,Pharmacy,Proprietorship,Telangana,2,0.7977,1,1,28904.61,182,158.16,6.067,0.01297,5,0.01383,1.51,0,0,1,4,0.2853,0,0
