MID,transaction_id,timestamp,status,amount_usd,bank_routing,return_code,device_type
MID01066,ACH-MID01066-20260526-00000,2026-05-26T14:22:44+00:00,settled,43.47,52266129,,mobile-ios
MID01066,ACH-MID01066-20260526-00001,2026-05-26T01:21:20+00:00,settled,59.38,91295251,,mobile-ios
MID01066,ACH-MID01066-20260526-00002,2026-05-26T23:10:18+00:00,pending,43.13,17553769,,in-app
MID01066,ACH-MID01066-20260526-00003,2026-05-26T05:15:33+00:00,settled,303.11,34858031,,pos-terminal
MID01066,ACH-MID01066-20260526-00004,2026-05-26T23:26:14+00:00,settled,159.3,77512551,,pos-terminal
MID01066,ACH-MID01066-20260526-00005,2026-05-26T10:53:52+00:00,settled,148.55,17804662,,mobile-android
MID01066,ACH-MID01066-20260526-00006,2026-05-26T17:46:15+00:00,settled,97.89,44125750,,desktop-web
MID01066,ACH-MID01066-20260526-00007,2026-05-26T18:18:07+00:00,settled,53.91,15007670,,desktop-web
MID01066,ACH-MID01066-20260526-00008,2026-05-26T07:09:39+00:00,settled,6.73,34952552,,mobile-android
MID01066,ACH-MID01066-20260526-00009,2026-05-26T00:29:06+00:00,settled,28.3,24293099,,mobile-ios
MID01066,ACH-MID01066-20260526-00010,2026-05-26T08:05:26+00:00,settled,188.13,69224860,,mobile-android
MID01066,ACH-MID01066-20260526-00011,2026-05-26T05:44:34+00:00,settled,43.48,13388063,,mobile-android
MID01066,ACH-MID01066-20260526-00012,2026-05-26T02:45:29+00:00,settled,25.36,91570720,,in-app
MID01066,ACH-MID01066-20260526-00013,2026-05-26T15:42:49+00:00,settled,51.64,45743896,,mobile-ios
MID01066,ACH-MID01066-20260526-00014,2026-05-26T10:20:35+00:00,settled,69.66,45848551,,pos-terminal
MID01066,ACH-MID01066-20260526-00015,2026-05-26T23:07:50+00:00,settled,29.72,69793459,,mobile-android
MID01066,ACH-MID01066-20260526-00016,2026-05-26T20:08:42+00:00,settled,40.35,98905366,,pos-terminal
MID01066,ACH-MID01066-20260526-00017,2026-05-26T04:33:01+00:00,settled,22.06,93783298,,mobile-android
MID01066,ACH-MID01066-20260526-00018,2026-05-26T04:57:47+00:00,returned,64.09,80547315,R01,mobile-ios
MID01066,ACH-MID01066-20260526-00019,2026-05-26T20:00:44+00:00,settled,50.32,19629328,,mobile-ios
MID01066,ACH-MID01066-20260526-00020,2026-05-26T22:26:31+00:00,settled,255.72,52879557,,mobile-android
MID01066,ACH-MID01066-20260526-00021,2026-05-26T20:43:15+00:00,settled,30.9,19937030,,desktop-web
MID01066,ACH-MID01066-20260526-00022,2026-05-26T02:42:11+00:00,settled,19.21,95776215,,mobile-ios
MID01066,ACH-MID01066-20260526-00023,2026-05-26T04:39:32+00:00,settled,127.48,80991552,,desktop-web
MID01066,ACH-MID01066-20260526-00024,2026-05-26T23:18:23+00:00,settled,186.86,67974227,,desktop-web
MID01066,ACH-MID01066-20260526-00025,2026-05-26T03:55:23+00:00,settled,30.72,48075590,,in-app
MID01066,ACH-MID01066-20260526-00026,2026-05-26T22:45:36+00:00,settled,196.41,87924238,,in-app
MID01066,ACH-MID01066-20260526-00027,2026-05-26T11:24:39+00:00,settled,96.81,68343413,,in-app
MID01066,ACH-MID01066-20260526-00028,2026-05-26T22:35:24+00:00,settled,76.98,85621738,,desktop-web
MID01066,ACH-MID01066-20260526-00029,2026-05-26T04:48:35+00:00,settled,86.29,13314698,,pos-terminal
MID01066,ACH-MID01066-20260526-00030,2026-05-26T08:31:39+00:00,returned,135.74,35590522,R02,pos-terminal
MID01066,ACH-MID01066-20260526-00031,2026-05-26T09:12:11+00:00,settled,107.81,35869783,,in-app
MID01066,ACH-MID01066-20260526-00032,2026-05-26T02:26:50+00:00,settled,105.06,25729617,,pos-terminal
MID01066,ACH-MID01066-20260526-00033,2026-05-26T15:57:31+00:00,settled,49.26,86534775,,pos-terminal
MID01066,ACH-MID01066-20260526-00034,2026-05-26T08:45:40+00:00,settled,106.97,69447159,,pos-terminal
MID01066,ACH-MID01066-20260526-00035,2026-05-26T13:15:34+00:00,settled,62.32,55054430,,mobile-android
MID01066,ACH-MID01066-20260526-00036,2026-05-26T11:49:18+00:00,settled,177.57,49749929,,pos-terminal
MID01066,ACH-MID01066-20260526-00037,2026-05-26T06:16:31+00:00,settled,11.23,63380176,,pos-terminal
MID01066,ACH-MID01066-20260526-00038,2026-05-26T13:38:10+00:00,settled,24.68,15543213,,mobile-android
MID01066,ACH-MID01066-20260526-00039,2026-05-26T19:40:34+00:00,pending,300.03,20086735,,desktop-web
MID01066,ACH-MID01066-20260526-00040,2026-05-26T23:40:46+00:00,settled,63.44,14889228,,mobile-ios
MID01066,ACH-MID01066-20260526-00041,2026-05-26T16:28:33+00:00,settled,193.65,24259066,,mobile-android
MID01066,ACH-MID01066-20260526-00042,2026-05-26T17:37:36+00:00,settled,403.72,11914643,,desktop-web
MID01066,ACH-MID01066-20260526-00043,2026-05-26T14:53:48+00:00,settled,48.19,80908173,,desktop-web
MID01066,ACH-MID01066-20260526-00044,2026-05-26T02:35:02+00:00,settled,127.86,43616575,,pos-terminal
MID01066,ACH-MID01066-20260526-00045,2026-05-26T10:11:07+00:00,returned,62.16,73260709,R10,in-app
MID01066,ACH-MID01066-20260526-00046,2026-05-26T22:07:12+00:00,settled,202.24,92446278,,pos-terminal
MID01066,ACH-MID01066-20260526-00047,2026-05-26T03:06:51+00:00,settled,63.19,66292543,,pos-terminal
MID01066,ACH-MID01066-20260526-00048,2026-05-26T13:49:21+00:00,settled,38.22,16600638,,in-app
MID01066,ACH-MID01066-20260526-00049,2026-05-26T11:52:46+00:00,settled,42.59,73814539,,pos-terminal
MID01066,ACH-MID01066-20260526-00050,2026-05-26T14:47:53+00:00,settled,71.4,63719248,,in-app
MID01066,ACH-MID01066-20260526-00051,2026-05-26T19:55:03+00:00,settled,13.37,24980173,,mobile-ios
MID01066,ACH-MID01066-20260526-00052,2026-05-26T04:33:03+00:00,settled,159.71,68808993,,in-app
MID01066,ACH-MID01066-20260526-00053,2026-05-26T04:13:02+00:00,settled,52.99,51036822,,mobile-android
MID01066,ACH-MID01066-20260526-00054,2026-05-26T00:46:25+00:00,settled,94.06,96972290,,pos-terminal
MID01066,ACH-MID01066-20260526-00055,2026-05-26T03:19:39+00:00,settled,40.1,45384555,,mobile-ios
MID01066,ACH-MID01066-20260526-00056,2026-05-26T08:28:49+00:00,settled,44.56,96737150,,mobile-ios
MID01066,ACH-MID01066-20260526-00057,2026-05-26T16:45:26+00:00,settled,45.78,15495509,,mobile-android
MID01066,ACH-MID01066-20260526-00058,2026-05-26T05:29:46+00:00,settled,78.97,90585816,,mobile-ios
MID01066,ACH-MID01066-20260526-00059,2026-05-26T20:57:02+00:00,settled,25.24,64960440,,pos-terminal
MID01066,ACH-MID01066-20260526-00060,2026-05-26T04:17:44+00:00,settled,780.41,86459958,,pos-terminal
MID01066,ACH-MID01066-20260526-00061,2026-05-26T20:35:42+00:00,settled,109.84,33807554,,pos-terminal
MID01066,ACH-MID01066-20260526-00062,2026-05-26T20:03:21+00:00,settled,364.58,28417021,,mobile-android
MID01066,ACH-MID01066-20260526-00063,2026-05-26T05:41:06+00:00,settled,74.19,58638065,,mobile-ios
MID01066,ACH-MID01066-20260526-00064,2026-05-26T20:43:33+00:00,settled,141.92,89470193,,mobile-android
MID01066,ACH-MID01066-20260526-00065,2026-05-26T02:40:44+00:00,settled,43.89,57103571,,mobile-ios
MID01066,ACH-MID01066-20260526-00066,2026-05-26T21:41:30+00:00,settled,33.41,63123763,,mobile-ios
MID01066,ACH-MID01066-20260526-00067,2026-05-26T03:15:22+00:00,settled,38.71,59692426,,pos-terminal
MID01066,ACH-MID01066-20260526-00068,2026-05-26T21:41:19+00:00,settled,10.97,15479661,,mobile-ios
MID01066,ACH-MID01066-20260526-00069,2026-05-26T16:38:42+00:00,settled,24.54,50223253,,pos-terminal
MID01066,ACH-MID01066-20260526-00070,2026-05-26T21:51:34+00:00,settled,55.62,29004795,,pos-terminal
MID01066,ACH-MID01066-20260526-00071,2026-05-26T23:15:06+00:00,settled,73.33,25395468,,mobile-android
MID01066,ACH-MID01066-20260526-00072,2026-05-26T11:55:08+00:00,returned,78.92,85819431,R01,in-app
MID01066,ACH-MID01066-20260526-00073,2026-05-26T08:23:50+00:00,settled,173.31,14223487,,pos-terminal
MID01066,ACH-MID01066-20260526-00074,2026-05-26T14:12:55+00:00,returned,145.98,65211686,R09,desktop-web
MID01066,ACH-MID01066-20260526-00075,2026-05-26T21:51:17+00:00,settled,27.11,92061952,,mobile-android
MID01066,ACH-MID01066-20260526-00076,2026-05-26T09:06:08+00:00,settled,81.67,53840366,,desktop-web
MID01066,ACH-MID01066-20260526-00077,2026-05-26T22:35:34+00:00,settled,295.02,15249238,,pos-terminal
MID01066,ACH-MID01066-20260526-00078,2026-05-26T15:34:38+00:00,settled,34.77,85197400,,pos-terminal
MID01066,ACH-MID01066-20260526-00079,2026-05-26T04:22:19+00:00,settled,31.99,35487272,,pos-terminal
MID01066,ACH-MID01066-20260526-00080,2026-05-26T20:24:18+00:00,settled,146.59,66683406,,in-app
MID01066,ACH-MID01066-20260526-00081,2026-05-26T08:34:33+00:00,returned,182.39,18917313,R01,desktop-web
MID01066,ACH-MID01066-20260526-00082,2026-05-26T14:38:51+00:00,settled,88.91,59802970,,pos-terminal
MID01066,ACH-MID01066-20260526-00083,2026-05-26T09:47:13+00:00,settled,28.69,94913685,,desktop-web
MID01066,ACH-MID01066-20260526-00084,2026-05-26T23:13:07+00:00,settled,56.9,64683311,,desktop-web
MID01066,ACH-MID01066-20260526-00085,2026-05-26T19:30:06+00:00,settled,11.38,94325377,,in-app
MID01066,ACH-MID01066-20260526-00086,2026-05-26T23:53:56+00:00,settled,136.15,83188699,,pos-terminal
MID01066,ACH-MID01066-20260526-00087,2026-05-26T13:28:50+00:00,settled,62.49,35392893,,in-app
MID01066,ACH-MID01066-20260526-00088,2026-05-26T00:23:03+00:00,settled,87.48,25245614,,pos-terminal
MID01066,ACH-MID01066-20260526-00089,2026-05-26T23:40:41+00:00,settled,63.02,62136452,,desktop-web
MID01066,ACH-MID01066-20260526-00090,2026-05-26T03:52:16+00:00,settled,202.4,32547268,,in-app
MID01066,ACH-MID01066-20260526-00091,2026-05-26T19:48:47+00:00,settled,7.92,67532757,,in-app
MID01066,ACH-MID01066-20260526-00092,2026-05-26T13:57:48+00:00,settled,55.44,85342522,,mobile-android
MID01066,ACH-MID01066-20260526-00093,2026-05-26T12:44:56+00:00,settled,166.39,17483354,,in-app
MID01066,ACH-MID01066-20260526-00094,2026-05-26T02:43:04+00:00,settled,186.86,30532778,,in-app
MID01066,ACH-MID01066-20260526-00095,2026-05-26T20:00:50+00:00,settled,35.43,88988154,,in-app
MID01066,ACH-MID01066-20260526-00096,2026-05-26T19:14:13+00:00,settled,98.36,10569224,,in-app
MID01066,ACH-MID01066-20260526-00097,2026-05-26T09:31:20+00:00,settled,63.67,22263245,,mobile-ios
MID01066,ACH-MID01066-20260526-00098,2026-05-26T17:17:38+00:00,settled,31.38,87066810,,mobile-ios
MID01066,ACH-MID01066-20260526-00099,2026-05-26T13:41:49+00:00,settled,19.4,81904914,,in-app
MID01066,ACH-MID01066-20260526-00100,2026-05-26T08:08:33+00:00,settled,39.11,97102219,,in-app
MID01066,ACH-MID01066-20260526-00101,2026-05-26T03:19:58+00:00,settled,138.47,49161170,,mobile-android
MID01066,ACH-MID01066-20260526-00102,2026-05-26T04:49:59+00:00,settled,33.13,26593585,,desktop-web
MID01066,ACH-MID01066-20260526-00103,2026-05-26T05:54:24+00:00,settled,135.0,61412928,,mobile-ios
MID01066,ACH-MID01066-20260526-00104,2026-05-26T06:04:58+00:00,settled,58.07,33938237,,in-app
MID01066,ACH-MID01066-20260526-00105,2026-05-26T05:06:35+00:00,settled,77.49,77174928,,in-app
MID01066,ACH-MID01066-20260526-00106,2026-05-26T08:25:31+00:00,settled,182.61,21694129,,pos-terminal
MID01066,ACH-MID01066-20260526-00107,2026-05-26T17:09:31+00:00,settled,61.75,95943860,,pos-terminal
MID01066,ACH-MID01066-20260526-00108,2026-05-26T22:59:46+00:00,settled,57.39,17526142,,in-app
MID01066,ACH-MID01066-20260526-00109,2026-05-26T18:22:49+00:00,settled,4.86,27872385,,desktop-web
MID01066,ACH-MID01066-20260526-00110,2026-05-26T19:37:46+00:00,settled,12.03,36361802,,mobile-ios
MID01066,ACH-MID01066-20260526-00111,2026-05-26T15:56:10+00:00,settled,72.27,55691560,,desktop-web
MID01066,ACH-MID01066-20260526-00112,2026-05-26T02:38:51+00:00,settled,48.6,80609948,,mobile-android
MID01066,ACH-MID01066-20260526-00113,2026-05-26T09:06:15+00:00,settled,76.61,34968163,,mobile-android
MID01066,ACH-MID01066-20260526-00114,2026-05-26T17:08:31+00:00,settled,78.13,44624023,,mobile-android
MID01066,ACH-MID01066-20260526-00115,2026-05-26T18:00:45+00:00,settled,61.2,59293435,,desktop-web
MID01066,ACH-MID01066-20260526-00116,2026-05-26T23:57:43+00:00,settled,40.92,11465728,,desktop-web
MID01066,ACH-MID01066-20260526-00117,2026-05-26T10:13:31+00:00,settled,56.8,21463732,,pos-terminal
MID01066,ACH-MID01066-20260526-00118,2026-05-26T19:06:37+00:00,settled,48.89,29406374,,desktop-web
MID01066,ACH-MID01066-20260526-00119,2026-05-26T03:59:40+00:00,settled,132.55,30435150,,desktop-web
MID01066,ACH-MID01066-20260526-00120,2026-05-26T05:16:38+00:00,settled,61.1,79707288,,desktop-web
